# Lista de fotos esperadas para Pedidos Famat
# Colocá cada foto en images/productos/ con el nombre indicado (jpg recomendado).
# También se aceptan .webp o .png si renombrás o ajustás luego.
# Total: 342 productos

aerosol-ambar.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Aerosol ambar
escoba-de-paja.jpg  |  producto  |  LINEA ESCOBAS - ESCOBILLON  |  Escoba de paja
escobeta-azteca.jpg  |  producto  |  LINEA ESCOBAS - ESCOBILLON  |  escobeta azteca
escobillon-grande-florinda-inca.jpg  |  producto  |  LINEA ESCOBAS - ESCOBILLON  |  Escobillon grande florinda/inca
escobillon-mediano-huarpe-pandi.jpg  |  producto  |  LINEA ESCOBAS - ESCOBILLON  |  Escobillon mediano huarpe/pandi
escobillon-laqueado-simil-madera.jpg  |  producto  |  LINEA ESCOBAS - ESCOBILLON  |  Escobillon laqueado simil madera
escobillon-chico-irizar.jpg  |  producto  |  LINEA ESCOBAS - ESCOBILLON  |  Escobillon chico irizar
esponjas-de-acero-make-30grs.jpg  |  producto  |  LINEA ESPONJAS  |  Esponjas de acero Make 30grs
esponjas-de-acero-make-50grs.jpg  |  producto  |  LINEA ESPONJAS  |  Esponjas de acero Make 50grs
esponjas-de-acero-make12g.jpg  |  producto  |  LINEA ESPONJAS  |  Esponjas de acero make12g
esponjas-dorada-de-12grs.jpg  |  producto  |  LINEA ESPONJAS  |  esponjas dorada de 12grs
esponjas-dorada-de-15grs.jpg  |  producto  |  LINEA ESPONJAS  |  Esponjas dorada de 15grs
esponjas-dorada-make-30grs.jpg  |  producto  |  LINEA ESPONJAS  |  Esponjas dorada Make 30grs
esponjas-antiadherentes-make.jpg  |  producto  |  LINEA ESPONJAS  |  Esponjas antiadherentes Make
esponja-extralimp-plus.jpg  |  producto  |  LINEA ESPONJAS  |  Esponja extralimp plus
esponja-de-bano-chica.jpg  |  producto  |  LINEA ESPONJAS  |  Esponja de baño chica
esponja-de-bano-grande.jpg  |  producto  |  LINEA ESPONJAS  |  Esponja de baño grande
esponja-fibra-verde-make.jpg  |  producto  |  LINEA ESPONJAS  |  Esponja fibra verde make
rejillas-dorada-doble-cara.jpg  |  producto  |  LINEA ESPONJAS  |  Rejillas Dorada doble cara
esponjas-amarillas-salvaunas-mortiner.jpg  |  producto  |  LINEA ESPONJAS  |  Esponjas Amarillas salvauñas MORTINER
esponjas-amarillas-salvaunas-make.jpg  |  producto  |  LINEA ESPONJAS  |  Esponjas Amarillas salvauñas make
fosforos-x220.jpg  |  producto  |  LINEA FOSFOROS  |  Fosforos x220
fosforos-x400.jpg  |  producto  |  LINEA FOSFOROS  |  Fosforos x400
encendedor.jpg  |  producto  |  LINEA FOSFOROS  |  Encendedor
franela.jpg  |  producto  |  LINEA FRANELAS  |  Franela
fuentos-x-13lts.jpg  |  producto  |  LINEA FUENTON  |  Fuentos x 13lts
fuenton-24lts.jpg  |  producto  |  LINEA FUENTON  |  fuenton 24lts
fuentos-x20lts.jpg  |  producto  |  LINEA FUENTON  |  Fuentos x20lts
fuenton-x30lts.jpg  |  producto  |  LINEA FUENTON  |  Fuenton x30lts
gatillos-blanco.jpg  |  producto  |  LINEA GATILLOS  |  Gatillos (Blanco)
gatillos-profesional.jpg  |  producto  |  LINEA GATILLOS  |  gatillos (profesional)
guantes-pequenos-p.jpg  |  producto  |  LINEA GUANTES  |  Guantes pequeños P
guantes-grandes-g.jpg  |  producto  |  LINEA GUANTES  |  Guantes grandes G
guantes-medianos-m.jpg  |  producto  |  LINEA GUANTES  |  Guantes medianos M
insecticidas-en-aerosol-raid-comun.jpg  |  producto  |  LINEA INSECTICIDA  |  Insecticidas en aerosol raid comun
insecticidas-en-aerosol-shelton.jpg  |  producto  |  LINEA INSECTICIDA  |  Insecticidas en aerosol shelton
cebo-en-bloque-raticida-geltex.jpg  |  producto  |  LINEA INSECTICIDA  |  Cebo en bloque raticida geltex
granulado-raticida-ultra-plus.jpg  |  producto  |  LINEA INSECTICIDA  |  Granulado raticida ultra plus
cebo-cucarachas-geltek-6-estaciones.jpg  |  producto  |  LINEA INSECTICIDA  |  Cebo cucarachas geltek 6 estaciones
cebo-mosca-granulado.jpg  |  producto  |  LINEA INSECTICIDA  |  Cebo mosca granulado
naftalina.jpg  |  producto  |  LINEA INSECTICIDA  |  Naftalina
naftalina-x-200.jpg  |  producto  |  LINEA INSECTICIDA  |  NAFTALINA x 200
mata-cucaracha-acido-borico.jpg  |  producto  |  LINEA INSECTICIDA  |  Mata cucaracha acido borico
jabon-detergente-quitamanchas.jpg  |  producto  |  LINEA JABON EN PAN  |  Jabon detergente Quitamanchas
jabon-en-pan-blanco-ala-200.jpg  |  producto  |  LINEA JABON EN PAN  |  Jabon en pan Blanco Ala 200
jabon-en-pan-gigante-200.jpg  |  producto  |  LINEA JABON EN PAN  |  Jabon en pan gigante 200
jabon-en-pan-cosquin-200.jpg  |  producto  |  LINEA JABON EN PAN  |  Jabon en pan cosquin 200
jabonetas-x-1-qsens.jpg  |  producto  |  LINEA JABONETA  |  Jabonetas x 1 Qsens
jabonetas-x-3-qsens.jpg  |  producto  |  LINEA JABONETA  |  Jabonetas x 3 Qsens
kit-lampazo-barrendero-armazon-35cm.jpg  |  producto  |  LAMPAZO-REPUESTO BARRENDERO  |  kit lampazo barrendero+armazon 35cm
kit-lampazo-barrendero-armazon-60cm.jpg  |  producto  |  LAMPAZO-REPUESTO BARRENDERO  |  Kit Lampazo barrendero+Armazon 60cm
kit-lampazo-barrendero-armazon-80cm.jpg  |  producto  |  LAMPAZO-REPUESTO BARRENDERO  |  Kit Lampazo barrendero+Armazon 80cm
kit-lampazo-barrendero-armazon-100cm.jpg  |  producto  |  LAMPAZO-REPUESTO BARRENDERO  |  Kit Lampazo barrendero+Armazon 100cm
repuesto-lampazo-barrendero-35cm.jpg  |  producto  |  LAMPAZO-REPUESTO BARRENDERO  |  Repuesto Lampazo Barrendero 35cm
repuesto-lampazo-barrendero-60cm.jpg  |  producto  |  LAMPAZO-REPUESTO BARRENDERO  |  Repuesto Lampazo Barrendero 60cm
repuesto-lampazo-barrendero-80cm.jpg  |  producto  |  LAMPAZO-REPUESTO BARRENDERO  |  Repuesto Lampazo Barrendero 80cm
